"gene_id"	"trans_id"	"omega_Fice"	"dN_Fice"	"dS_Fice"
"ENSFALG00000000001"	"ENSFALT00000000001"	1e-04	0	0.1944
"ENSFALG00000000004"	"ENSFALT00000000004"	1e-04	0	0.0792
"ENSFALG00000000005"	"ENSFALT00000000005"	0.0141	8e-04	0.0543
"ENSFALG00000000006"	"ENSFALT00000000006"	0.1545	0.006	0.0388
"ENSFALG00000000007"	"ENSFALT00000000008"	0.1534	0.0242	0.1576
"ENSFALG00000000008"	"ENSFALT00000000009"	0.3864	0.0116	0.0299
"ENSFALG00000000009"	"ENSFALT00000000010"	0.0174	0.0012	0.0687
"ENSFALG00000000012"	"ENSFALT00000000013"	0.289	0.0153	0.0531
"ENSFALG00000000015"	"ENSFALT00000000017"	0.3903	0.0118	0.0303
"ENSFALG00000000018"	"ENSFALT00000000019"	0.0147	0.0016	0.1091
"ENSFALG00000000020"	"ENSFALT00000000022"	1e-04	0	0.0463
"ENSFALG00000000024"	"ENSFALT00000000025"	0.0751	0.0216	0.2877
"ENSFALG00000000026"	"ENSFALT00000000026"	0.4273	0.0079	0.0185
"ENSFALG00000000031"	"ENSFALT00000000032"	0.0224	8e-04	0.0368
"ENSFALG00000000025"	"ENSFALT00000000036"	1e-04	0	0.0535
"ENSFALG00000000034"	"ENSFALT00000000038"	0.0321	0.0025	0.0774
"ENSFALG00000000037"	"ENSFALT00000000041"	0.3657	0.0318	0.0869
"ENSFALG00000000042"	"ENSFALT00000000045"	0.1224	0.0056	0.0459
"ENSFALG00000000043"	"ENSFALT00000000046"	0.596	0.0155	0.026
"ENSFALG00000000044"	"ENSFALT00000000049"	0.1092	0.0143	0.131
"ENSFALG00000000046"	"ENSFALT00000000050"	0.0393	0.0065	0.1658
"ENSFALG00000000047"	"ENSFALT00000000051"	0.1168	0.0067	0.0576
"ENSFALG00000000048"	"ENSFALT00000000052"	1e-04	0	0
"ENSFALG00000000050"	"ENSFALT00000000054"	0.0195	9e-04	0.0438
"ENSFALG00000000051"	"ENSFALT00000000055"	0.4454	0.0429	0.0962
"ENSFALG00000000053"	"ENSFALT00000000058"	0.0919	0.0098	0.1065
"ENSFALG00000000054"	"ENSFALT00000000059"	0.113	0.0089	0.0786
"ENSFALG00000000056"	"ENSFALT00000000062"	999	0.0205	0
"ENSFALG00000000058"	"ENSFALT00000000065"	1e-04	0	0.0193
"ENSFALG00000000061"	"ENSFALT00000000066"	0.9179	0.0862	0.0939
"ENSFALG00000000062"	"ENSFALT00000000067"	0.0331	0.008	0.2406
