,X2,gene_name,V2
1,ENSFALG00000000001,PRELP,PRELP
2,ENSFALG00000000002,Optc,OPTC
3,ENSFALG00000000003,ATP2B2,ATP2B4
4,ENSFALG00000000004,SLC6A11,SLC6A11
5,ENSFALG00000000005,SLC6A1,SLC6A1
6,ENSFALG00000000006,ATG7,ATG7
7,ENSFALG00000000006,ATG7,ATG7
8,ENSFALG00000000007,VGLL4,VGLL4
9,ENSFALG00000000008,TAMM41,TAMM41
10,ENSFALG00000000009,SYN2,SYN2
11,ENSFALG00000000010,TIMP4,TIMP4
12,ENSFALG00000000011,PPARG,PPARG
13,ENSFALG00000000012,TSEN2,TSEN2
14,ENSFALG00000000013,Brd4b,ENSFALG00000000013
15,ENSFALG00000000014,Mkrn2os,MKRN2OS
16,ENSFALG00000000015,MKRN2,MKRN2
17,ENSFALG00000000016,REEP4,REEP4
18,ENSFALG00000000017,Lgi3,LGI3
19,ENSFALG00000000018,RAF1,RAF1
20,ENSFALG00000000018,RAF1,RAF1
21,ENSFALG00000000019,Cyhr1,CYHR1
22,ENSFALG00000000020,Cnbp,ENSFALG00000000020
23,ENSFALG00000000021,BMP1,BMP1
24,ENSFALG00000000022,Ppp1r16a,ENSFALG00000000022
25,ENSFALG00000000023,ISY1,ENSFALG00000000023
26,ENSFALG00000000024,Hdhd5,ENSFALG00000000024
27,ENSFALG00000000025,RUNX1,RUNX1
28,ENSFALG00000000026,RAB43,RAB43
29,ENSFALG00000000028,EFCC1,ENSFALG00000000028
30,ENSFALG00000000029,EFCC1,ENSFALG00000000029
31,ENSFALG00000000029,Efcc1,ENSFALG00000000029
32,ENSFALG00000000030,NDUFA13,NDUFA13
33,ENSFALG00000000031,ACAD9,ACAD9
34,ENSFALG00000000032,Gatad2a,ENSFALG00000000032
35,ENSFALG00000000033,PHYHIP,PHYHIP
36,ENSFALG00000000034,IQSEC1,IQSEC1
37,ENSFALG00000000035,IQSEC1,ENSFALG00000000035
38,ENSFALG00000000036,NUP210,NUP210
39,ENSFALG00000000037,Hdac11,HDAC11
40,ENSFALG00000000038,Ha1f,ENSFALG00000000038
41,ENSFALG00000000039,ATP2B3,ENSFALG00000000039
42,ENSFALG00000000040,YTHDC2,ENSFALG00000000040
43,ENSFALG00000000042,MCC,MCC
44,ENSFALG00000000043,DCP2,DCP2
45,ENSFALG00000000044,REEP5,REEP5
46,ENSFALG00000000046,Cyp21,ENSFALG00000000046
47,ENSFALG00000000047,APC,APC
48,ENSFALG00000000048,PPIA,ENSFALG00000000048
49,ENSFALG00000000049,Zmiz2,ZMIZ2
50,ENSFALG00000000050,OGDH,OGDH
51,ENSFALG00000000051,IL1B,ENSFALG00000000051
52,ENSFALG00000000051,IL1B,ENSFALG00000000051
53,ENSFALG00000000052,NT5DC4,NT5DC4
54,ENSFALG00000000053,SLC20A1,SLC20A1
55,ENSFALG00000000054,NUDCD3,NUDCD3
56,ENSFALG00000000055,CAMK2B,CAMK2B
57,ENSFALG00000000056,YKT6,YKT6
58,ENSFALG00000000058,GCK,GCK
59,ENSFALG00000000059,Ighv348,ENSFALG00000000059
60,ENSFALG00000000060,Ighv343,ENSFALG00000000060
61,ENSFALG00000000061,Nkl,ENSFALG00000000061
62,ENSFALG00000000062,POLD2,POLD2
63,ENSFALG00000000063,Tuft1,ENSFALG00000000063
64,ENSFALG00000000064,AEBP1,AEBP1
65,ENSFALG00000000066,NDUFS2,NDUFS2
66,ENSFALG00000000067,MCOLN1,MCOLN1
67,ENSFALG00000000069,DBNL,DBNL
68,ENSFALG00000000071,Tcf7l1a,TCF7L1
69,ENSFALG00000000072,TOX3,TOX3
70,ENSFALG00000000073,Tgoln1,ENSFALG00000000073
71,ENSFALG00000000073,Tgoln1,ENSFALG00000000073
72,ENSFALG00000000074,SALL1,SALL1
73,ENSFALG00000000075,CYLD,CYLD
74,ENSFALG00000000076,RETSAT,RETSAT
75,ENSFALG00000000077,SNX20,SNX20
76,ENSFALG00000000078,NKD1,NKD1
77,ENSFALG00000000079,ELMOD3,ELMOD3
78,ENSFALG00000000080,BRD7,BRD7
79,ENSFALG00000000081,SUGP2,ENSFALG00000000081
80,ENSFALG00000000082,ARMC6,ARMC6
81,ENSFALG00000000084,GPAT2,GPAT2
82,ENSFALG00000000085,SLC25A42,SLC25A42
83,ENSFALG00000000086,ADCY7,ADCY7
84,ENSFALG00000000087,Tent4b,TENT4B
85,ENSFALG00000000088,FAHD2B,ENSFALG00000000088
86,ENSFALG00000000089,HEATR3,HEATR3
87,ENSFALG00000000090,Kcnip3,KCNIP3
88,ENSFALG00000000091,Cnep1r1,CNEP1R1
89,ENSFALG00000000092,Cox5b,COX5B
90,ENSFALG00000000093,ANKRD33,ANKRD33
91,ENSFALG00000000094,ACVRL1,ENSFALG00000000094
92,ENSFALG00000000095,H2AZ2,H2AFV
93,ENSFALG00000000096,ACVR1B,ACVR1B
94,ENSFALG00000000097,ZNF423,ZNF423
95,ENSFALG00000000098,CBLN1,CBLN1
96,ENSFALG00000000099,NR4A1,NR4A1
97,ENSFALG00000000100,MAT2A,MAT2A
98,ENSFALG00000000101,N4BP1,N4BP1
99,ENSFALG00000000102,ATG101,ATG101
100,ENSFALG00000000103,LONP2,LONP2
101,ENSFALG00000000104,SIAH1,SIAH1
102,ENSFALG00000000105,FMNL3,FMNL3
103,ENSFALG00000000106,Ggcx,GGCX
104,ENSFALG00000000107,PHKB,PHKB
105,ENSFALG00000000107,PHKB,PHKB
106,ENSFALG00000000108,VAMP8,VAMP8
107,ENSFALG00000000109,TMBIM6,TMBIM6
108,ENSFALG00000000110,Urb1,ENSFALG00000000110
109,ENSFALG00000000111,USP39,USP39
110,ENSFALG00000000115,KANSL2,KANSL2
111,ENSFALG00000000116,PALM2AKAP2,PALM2-AKAP2
112,ENSFALG00000000117,MXD1,MXD1
113,ENSFALG00000000118,SLC46A2,SLC46A2
114,ENSFALG00000000119,SNX30,SNX30
115,ENSFALG00000000120,Snrnp27,SNRNP27
116,ENSFALG00000000121,INIP,INIP
117,ENSFALG00000000122,KIAA1958,ENSFALG00000000122
118,ENSFALG00000000123,Itfg1,ITFG1
119,ENSFALG00000000124,CCNT1,CCNT1
120,ENSFALG00000000125,Hsdl2,ENSFALG00000000125
121,ENSFALG00000000126,ADCY6,ADCY6
122,ENSFALG00000000127,ADD2,ADD2
123,ENSFALG00000000128,HSDL2,HSDL2
124,ENSFALG00000000129,CACNB3,CACNB3
125,ENSFALG00000000130,Neto2,NETO2
126,ENSFALG00000000132,DNAJA2,DNAJA2
127,ENSFALG00000000133,DDX23,DDX23
128,ENSFALG00000000134,Cdca9,ENSFALG00000000134
129,ENSFALG00000000135,CDCA9,ENSFALG00000000135
130,ENSFALG00000000137,HINT2,HINT2
131,ENSFALG00000000137,HINT2,HINT2
132,ENSFALG00000000138,SUSD1,PTBP3
133,ENSFALG00000000139,TESK1,TESK1
134,ENSFALG00000000140,GPT2,GPT2
135,ENSFALG00000000141,HK2,HK2
136,ENSFALG00000000142,CCDC65,CCDC65
137,ENSFALG00000000143,Cd72,ENSFALG00000000143
138,ENSFALG00000000145,Clec4f,ENSFALG00000000145
139,ENSFALG00000000147,Fkbp11,FKBP11
140,ENSFALG00000000148,Arf3,ENSFALG00000000148
141,ENSFALG00000000149,TMEM8B,TMEM8B
142,ENSFALG00000000150,SUSD1,SUSD1
143,ENSFALG00000000151,WNT1,WNT1
144,ENSFALG00000000152,C16orf87,C16orf87
145,ENSFALG00000000153,MYLK3,MYLK3
146,ENSFALG00000000154,GMCL1,ENSFALG00000000154
147,ENSFALG00000000155,Taf1c,TAF1C
148,ENSFALG00000000156,Ugcg,UGCG
149,ENSFALG00000000157,CHRDL1,CHRDL1
150,ENSFALG00000000158,ANXA4,ANXA4
151,ENSFALG00000000159,CTNNA2,ENSFALG00000000159
152,ENSFALG00000000160,PRKAG1,PRKAG1
153,ENSFALG00000000161,Ammecr1,AMMECR1
154,ENSFALG00000000161,AMMECR1,AMMECR1
155,ENSFALG00000000162,ORC6,ORC6
156,ENSFALG00000000163,SPAG8,ENSFALG00000000163
157,ENSFALG00000000164,Aak1,AAK1
158,ENSFALG00000000165,CTNNA2,ENSFALG00000000165
159,ENSFALG00000000166,SHOC1,ENSFALG00000000166
160,ENSFALG00000000167,NPR2,NPR2
161,ENSFALG00000000168,TMEM164,TMEM164
162,ENSFALG00000000169,ADRA1D,ADRA1D
163,ENSFALG00000000170,SMOX,SMOX
164,ENSFALG00000000171,GNG10,GNG10
165,ENSFALG00000000172,MSMP,MSMP
166,ENSFALG00000000173,ACSL4,ACSL4
167,ENSFALG00000000174,RNF24,RNF24
168,ENSFALG00000000175,Dnajc25,ENSFALG00000000175
169,ENSFALG00000000176,Vps35,VPS35
170,ENSFALG00000000177,YJ005,ENSFALG00000000177
171,ENSFALG00000000178,NXT2,NXT2
172,ENSFALG00000000179,NFU1,ENSFALG00000000179
173,ENSFALG00000000180,IRS2-A,ENSFALG00000000180
174,ENSFALG00000000181,NPR2,RGP1
175,ENSFALG00000000182,KMT2D,KMT2D
176,ENSFALG00000000183,ECPAS,ECPAS
177,ENSFALG00000000184,Pank2,PANK2
178,ENSFALG00000000185,Col4a5,COL4A5
179,ENSFALG00000000186,SMC2,SMC2
180,ENSFALG00000000187,COL4A6,COL4A6
181,ENSFALG00000000188,MAVS,ENSFALG00000000188
182,ENSFALG00000000189,PTGR1,PTGR1
183,ENSFALG00000000190,GFPT1,GFPT1
184,ENSFALG00000000191,TXN,TXN
185,ENSFALG00000000192,ATG4A,ATG4A
186,ENSFALG00000000194,PSMD10,PSMD10
187,ENSFALG00000000195,VSIG1,VSIG1
188,ENSFALG00000000196,VPS35,SHCBP1
189,ENSFALG00000000197,PTPRA,PTPRA
190,ENSFALG00000000200,SVEP1,SVEP1
191,ENSFALG00000000201,RAB39B,RAB39B
192,ENSFALG00000000202,Vbp1,VBP1
193,ENSFALG00000000203,Vstm2b,ENSFALG00000000203
194,ENSFALG00000000204,VBP1,ENSFALG00000000204
195,ENSFALG00000000205,Dhh,DHH
196,ENSFALG00000000206,POP4,POP4
197,ENSFALG00000000207,GAB3,GAB3
198,ENSFALG00000000208,LMBR1L,LMBR1L
199,ENSFALG00000000209,SMARCA1,SMARCA1
200,ENSFALG00000000212,TUBA1B,ENSFALG00000000212
201,ENSFALG00000000213,Mrps26,MRPS26
202,ENSFALG00000000215,C19orf12,C19orf12
203,ENSFALG00000000216,ANTXR1,ANTXR1
204,ENSFALG00000000217,Neum,ENSFALG00000000217
205,ENSFALG00000000218,CUNH19orf12,ENSFALG00000000218
206,ENSFALG00000000219,TUBA1B,ENSFALG00000000219
207,ENSFALG00000000220,Neuv,ENSFALG00000000220
208,ENSFALG00000000221,RNF20,RNF20
209,ENSFALG00000000222,GKN1,GKN1
210,ENSFALG00000000223,CCNE1,CCNE1
211,ENSFALG00000000224,TUBA1C,ENSFALG00000000224
212,ENSFALG00000000225,GKN2,GKN2
213,ENSFALG00000000226,PGAP4,TMEM246
214,ENSFALG00000000227,RPL22L1,RPL22L1
215,ENSFALG00000000228,URI1,URI1
216,ENSFALG00000000229,BMP10,BMP10
217,ENSFALG00000000230,MUSK,MUSK
218,ENSFALG00000000231,ALDOB,ALDOB
219,ENSFALG00000000232,ARHGAP25,ARHGAP25
220,ENSFALG00000000233,ZNF536,ZNF536
221,ENSFALG00000000234,Mrpl50,MRPL50
222,ENSFALG00000000234,Mrpl50,MRPL50
223,ENSFALG00000000235,CDS2,CDS2
224,ENSFALG00000000236,PLPPR1,PLPPR1
225,ENSFALG00000000237,ZNF507,ZNF507
226,ENSFALG00000000238,DPY19L3,DPY19L3
227,ENSFALG00000000239,GLI1,GLI1
228,ENSFALG00000000240,PCNA,PCNA
229,ENSFALG00000000241,Cadn,ENSFALG00000000241
230,ENSFALG00000000242,Inhbc,ENSFALG00000000242
231,ENSFALG00000000243,LPAR1,ENSFALG00000000243
232,ENSFALG00000000244,AHNAK,ENSFALG00000000244
233,ENSFALG00000000245,Ncam1,NCAM1
234,ENSFALG00000000246,TMEM230,TMEM230
235,ENSFALG00000000248,Npr2,ENSFALG00000000248
236,ENSFALG00000000249,Inhbc,INHBC
237,ENSFALG00000000250,PDCD5,PDCD5
238,ENSFALG00000000251,Hoxb7,HOXB7
239,ENSFALG00000000252,HOXB8,HOXB8
240,ENSFALG00000000253,ANKRD27,ANKRD27
241,ENSFALG00000000254,SLC23A2,SLC23A2
242,ENSFALG00000000254,SLC23A2,SLC23A2
243,ENSFALG00000000255,R3HDM2,ENSFALG00000000255
244,ENSFALG00000000256,TTC12,ENSFALG00000000256
245,ENSFALG00000000257,Nudt19,ENSFALG00000000257
246,ENSFALG00000000258,ANKK1,ANKK1
247,ENSFALG00000000259,TDRD12,ENSFALG00000000259
248,ENSFALG00000000260,Drd2,DRD2
249,ENSFALG00000000261,CLEC3A,CLEC3A
250,ENSFALG00000000262,Ndufa4l2,NDUFA4L2
251,ENSFALG00000000263,RASSF2,RASSF2
252,ENSFALG00000000264,VAT1L,VAT1L
253,ENSFALG00000000265,SHMT2,SHMT2
254,ENSFALG00000000266,RHPN2,RHPN2
255,ENSFALG00000000267,FAAP24,FAAP24
256,ENSFALG00000000268,Prnp,PRNP
257,ENSFALG00000000269,CEP89,CEP89
258,ENSFALG00000000270,Prom2,PROM2
259,ENSFALG00000000271,Dusp11,ENSFALG00000000271
260,ENSFALG00000000272,FAT3,FAT3
261,ENSFALG00000000273,STAMBP,STAMBP
262,ENSFALG00000000274,SLC7A9,SLC7A9
263,ENSFALG00000000275,ACTG2,ACTG2
264,ENSFALG00000000276,DGUOK,DGUOK
265,ENSFALG00000000277,Tet3,TET3
266,ENSFALG00000000278,MTNR1B,MTNR1B
267,ENSFALG00000000279,MOB1A,ENSFALG00000000279
268,ENSFALG00000000281,SLC36A4,SLC36A4
269,ENSFALG00000000282,Bola3,BOLA3
270,ENSFALG00000000283,MTHFD2,ENSFALG00000000283
271,ENSFALG00000000284,SLC4A5,SLC4A5
272,ENSFALG00000000285,DEUP1,DEUP1
273,ENSFALG00000000287,Cep295,ENSFALG00000000287
274,ENSFALG00000000287,CEP295,ENSFALG00000000287
275,ENSFALG00000000289,CDH8,CDH8
276,ENSFALG00000000290,TACR1,TACR1
277,ENSFALG00000000291,CEP295,ENSFALG00000000291
278,ENSFALG00000000292,CEP295,ENSFALG00000000292
279,ENSFALG00000000293,TAF1D,ENSFALG00000000293
280,ENSFALG00000000294,C11orf54,C11orf54
281,ENSFALG00000000295,MED17,ENSFALG00000000295
282,ENSFALG00000000296,NCAPH,NCAPH
283,ENSFALG00000000297,JUP,JUP
284,ENSFALG00000000298,Vstm5,VSTM5
285,ENSFALG00000000299,Arid5a,ENSFALG00000000299
286,ENSFALG00000000301,KANSL3,KANSL3
287,ENSFALG00000000303,Fer1l5,ENSFALG00000000303
288,ENSFALG00000000304,LMAN2L,LMAN2L
289,ENSFALG00000000305,CNNM4,CNNM4
290,ENSFALG00000000306,ADAMTS18,ADAMTS18
291,ENSFALG00000000307,HEPHL1,HEPHL1
292,ENSFALG00000000309,LRP1,LRP1
293,ENSFALG00000000310,HAP1,ENSFALG00000000310
294,ENSFALG00000000311,PANX1,PANX1
295,ENSFALG00000000312,Antr,ENSFALG00000000312
296,ENSFALG00000000313,GPR83,GPR83
297,ENSFALG00000000314,Eif1,ENSFALG00000000314
298,ENSFALG00000000315,MRE11,MRE11
299,ENSFALG00000000316,PLEC,PLEC
300,ENSFALG00000000317,ANKRD49,ANKRD49
301,ENSFALG00000000319,GPATCH3,GPATCH3
302,ENSFALG00000000320,AMOTL1,AMOTL1
303,ENSFALG00000000321,GPN2,GPN2
304,ENSFALG00000000323,ZDHHC18,ZDHHC18
305,ENSFALG00000000325,PIGV,PIGV
306,ENSFALG00000000326,CWC15,CWC15
307,ENSFALG00000000328,Tmem81,ENSFALG00000000328
308,ENSFALG00000000330,ENDOD1,ENDOD1
309,ENSFALG00000000331,Krt17,ENSFALG00000000331
310,ENSFALG00000000332,ARID1A,ARID1A
311,ENSFALG00000000333,SESN3,SESN3
312,ENSFALG00000000335,KRT19,ENSFALG00000000335
313,ENSFALG00000000336,FAM76B,FAM76B
314,ENSFALG00000000337,CEP57,CEP57
315,ENSFALG00000000338,MTMR2,MTMR2
316,ENSFALG00000000339,MAML2,MAML2
317,ENSFALG00000000341,KRT19,KRT19
318,ENSFALG00000000344,CCDC82,CCDC82
319,ENSFALG00000000346,KRT15,KRT15
320,ENSFALG00000000347,RPS6KA1,RPS6KA1
321,ENSFALG00000000348,CNTN5,CNTN5
322,ENSFALG00000000349,KRT23,KRT23
323,ENSFALG00000000350,KRT20,KRT20
324,ENSFALG00000000351,KRT12,KRT12
